segment,time,throttle,vane,rpm,roll,pitch,yaw,accelx,accely,accelz,gx,gy,gz,magx,magy,magz,encoderGamma,encoderBeta,
0,5.523000,0.000000,0.000000,nan,0.643386,-2.891141,4.387838,-0.188435,-0.011366,10.037891,-0.000713,-0.000594,0.007001,-107.150696,-19.987211,-68.668884,0.000000,0.000000,
0,5.584000,0.000000,0.000000,nan,0.305641,-2.583037,4.367786,-0.131007,-0.037089,10.109077,0.016544,0.003224,0.020440,-107.150696,-19.987211,-68.668884,0.000000,0.000000,
0,5.645000,0.000000,0.000000,nan,0.127222,-2.409498,4.269392,-0.191426,0.029910,10.051650,0.008908,0.003376,0.032046,-107.150696,-19.987211,-68.668884,0.000000,0.000000,
0,5.706000,0.000000,0.000000,nan,0.052237,-2.244259,4.271465,-0.162114,0.014955,10.032507,0.014559,0.003224,0.022425,-106.947281,-19.281380,-68.793404,0.000000,0.000000,
0,5.767000,0.000000,0.000000,nan,-0.010049,-2.083499,4.262209,-0.193819,0.020339,10.063614,-0.000713,-0.012201,-0.024001,-106.947281,-19.281380,-68.793404,0.000000,0.000000,
0,5.828000,0.000000,0.000000,nan,-0.061174,-1.947652,4.331047,-0.156132,0.009571,10.037891,-0.002698,0.005209,0.008833,-106.947281,-19.281380,-68.793404,0.000000,0.000000,
0,5.889000,0.000000,0.000000,nan,-0.103082,-1.859430,4.290409,-0.194417,-0.020339,10.044471,0.008908,-0.004412,-0.008576,-106.947281,-19.281380,-68.793404,0.000000,0.000000,
0,5.950000,0.000000,0.000000,nan,-0.128331,-1.695647,4.348872,-0.202792,-0.023330,10.000204,-0.002698,-0.014186,0.020440,-106.978409,-19.839033,-69.256355,0.000000,0.000000,
0,6.011000,0.000000,0.000000,nan,-0.160710,-1.592240,4.398561,-0.203390,-0.027517,10.077372,0.005090,-0.008383,0.034032,-106.978409,-19.839033,-69.256355,0.000000,0.000000,
0,6.072000,0.000000,0.000000,nan,-0.158721,-1.545791,4.403299,-0.175872,0.005384,10.022338,-0.035532,0.011012,0.005016,-106.978409,-19.839033,-69.256355,0.000000,0.000000,
0,6.133000,0.000000,0.000000,nan,-0.171028,-1.441525,4.413240,-0.229711,0.023330,10.003196,-0.008502,-0.006398,0.026396,-107.173943,-19.664108,-68.248459,0.000000,0.000000,
0,6.194000,0.000000,0.000000,nan,-0.201551,-1.345973,4.375012,-0.169292,-0.035294,10.071390,0.003105,-0.006398,-0.008576,-107.173943,-19.664108,-68.248459,0.000000,0.000000,
0,6.255000,0.000000,0.000000,nan,-0.213629,-1.269299,4.397190,-0.162114,0.031705,10.055838,0.006923,0.012997,-0.020183,-107.173943,-19.664108,-68.248459,0.000000,0.000000,
0,6.316000,0.000000,0.000000,nan,-0.199500,-1.179248,4.369791,-0.212363,0.006580,10.061221,-0.002698,0.014983,0.016622,-106.605331,-19.403257,-68.326935,0.000000,0.000000,
0,6.377000,0.000000,0.000000,nan,-0.206860,-1.117240,4.423060,-0.192024,-0.008973,10.041480,-0.000713,0.001238,-0.039578,-106.605331,-19.403257,-68.326935,0.000000,0.000000,
0,6.438000,0.000000,0.000000,nan,-0.229330,-1.038294,4.395733,-0.178863,-0.007777,10.063614,-0.006669,0.011012,0.012804,-106.605331,-19.403257,-68.326935,0.000000,0.000000,
0,6.499000,0.000000,0.000000,nan,-0.248956,-0.949426,4.365235,-0.231506,-0.007178,10.055838,-0.014305,0.012997,0.030214,-107.516769,-19.588703,-68.588661,0.000000,0.000000,
0,6.560000,0.000000,0.000000,nan,-0.230914,-0.908044,4.416161,-0.175274,-0.061615,10.066606,-0.014305,-0.004565,-0.002773,-107.516769,-19.588703,-68.588661,0.000000,0.000000,
0,6.621000,0.000000,0.000000,nan,-0.191167,-0.874683,4.391917,-0.145962,-0.025723,9.995419,0.018529,0.005209,0.010819,-107.516769,-19.588703,-68.588661,0.000000,0.000000,
0,6.682000,0.000000,0.000000,nan,-0.165899,-0.802436,4.354993,-0.188435,-0.047258,10.030114,-0.002698,-0.031596,-0.006744,-107.516769,-19.588703,-68.588661,0.000000,0.000000,
0,6.743000,0.000000,0.000000,nan,-0.129392,-0.752381,4.354915,-0.256630,-0.029312,9.985249,0.004937,-0.031596,0.014637,-106.684669,-20.102510,-68.664062,0.000000,0.000000,
0,6.804000,0.000000,0.000000,nan,-0.161164,-0.706273,4.408342,-0.165105,-0.027517,10.055838,-0.014305,-0.000594,-0.006591,-106.684669,-20.102510,-68.664062,0.000000,0.000000,
0,6.865000,0.000000,0.000000,nan,-0.164717,-0.658272,4.491127,-0.163908,-0.028116,10.022936,0.010741,-0.010215,-0.037592,-106.684669,-20.102510,-68.664062,0.000000,0.000000,
0,6.926000,0.000000,0.000000,nan,-0.208096,-0.592563,4.481091,-0.156730,0.003589,10.039685,0.014711,-0.004412,0.008833,-106.507126,-19.861389,-69.167358,0.000000,0.000000,
0,6.987000,0.000000,0.000000,nan,-0.176852,-0.513643,4.394793,-0.175274,0.022732,10.037891,0.001120,0.016968,0.018607,-106.507126,-19.861389,-69.167358,0.000000,0.000000,
